,prev_line,current_line
0,勝ったら全国！,いけ 潔！
1,いけ 潔！,このプレー ラストチャンス 頼むぞ！
2,このプレー ラストチャンス 頼むぞ！,全国 全国 全国… 全国！
3,全国 全国 全国… 全国！,こっちじゃ ポンコツ！
4,こっちじゃ ポンコツ！,シュート決める… シュート！
5,シュート決める… シュート！,全国！
6,全国！,潔！　こっち どフリー！
7,潔！　こっち どフリー！,あっ… 多田ちゃん
8,あっ… 多田ちゃん,パス出しゃ １点…
9,パス出しゃ １点…,潔！ うわっ…
10,潔！ うわっ…,ワンフォーオール オールフォーワンだ！
11,ワンフォーオール オールフォーワンだ！,そうだ サッカーは…
12,そうだ サッカーは…,11人でやるスポーツだ
13,11人でやるスポーツだ,あっ！
14,あっ！,っしゃ！　これで同点…
15,っしゃ！　これで同点…,ウッソ！
16,ウッソ！,カウンター！ 上がれ 上がれ！
17,カウンター！ 上がれ 上がれ！,マズい！
18,マズい！,止めろ！
19,止めろ！,ぶち抜け！
20,ぶち抜け！,ふっ！
21,ふっ！,うおおおお！
22,うおおおお！,ごめん みんな！
23,ごめん みんな！,俺が… 俺が決めてれば…
24,俺が… 俺が決めてれば…,多田ちゃんのせいじゃねえって
25,多田ちゃんのせいじゃねえって,吉良く～ん！ かっこいい！
26,吉良く～ん！ かっこいい！,吉良選手は
27,吉良選手は,日本サッカー界の宝と いわれています
28,日本サッカー界の宝と いわれています,Ｕ-(アンダー)18代表への飛び級招集も 決まったそうですが 意気込みは？
29,Ｕ-(アンダー)18代表への飛び級招集も 決まったそうですが 意気込みは？,そうですね
30,そうですね,今は このチームで 全国大会優勝を目指すだけです
31,今は このチームで 全国大会優勝を目指すだけです,ただ 一つ言えるのは
32,ただ 一つ言えるのは,今の僕があるのは
33,今の僕があるのは,このチームのみんながいるから ってことだけっすね
34,このチームのみんながいるから ってことだけっすね,きゃあ～！ すてき～！
35,きゃあ～！ すてき～！,よく戦った
36,よく戦った,３年は これで引退だ
37,３年は これで引退だ,チームとして 一緒に戦った日々を 誇りに思え
38,チームとして 一緒に戦った日々を 誇りに思え,この負けが いつか お前らの人生で…
